Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2013,2013,106.6,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2014,2014,313.0,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2015,2015,804.2,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2016,2016,1182.9,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2017,2017,1682.0,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2018,2018,2449.8,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2019,2019,3399.8,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2020,2020,4306.0,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2021,2021,6128.0,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2022,2022,8242.3,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2023,2023,10304.3,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2024,2024,11607.8,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2025,2025,13943.1,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2005,2005,7806.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2006,2006,7649.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2007,2007,7462.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2008,2008,6824.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2009,2009,8029.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2010,2010,6911.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2011,2011,6411.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2012,2012,7645.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2013,2013,5721.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2014,2014,7800.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2015,2015,11234.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2016,2016,11678.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2017,2017,11731.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2018,2018,12077.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2019,2019,12525.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2020,2020,12111.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2021,2021,12668.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2022,2022,12862.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2023,2023,13770.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2024,2024,13478.0,
0,Kjøretøy i alt,18,Elektrisitet,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2025,2025,13412.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2005,2005,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2006,2006,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2007,2007,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2008,2008,,.
