Region,Region_label,Kjopegrupper,Kjopegrupper_label,PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M02,2014M02,86,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M03,2014M03,100,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M04,2014M04,102,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M05,2014M05,111,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M06,2014M06,119,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M07,2014M07,123,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M08,2014M08,112,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M09,2014M09,103,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M10,2014M10,99,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M11,2014M11,91,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M12,2014M12,96,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M01,2015M01,86,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M02,2015M02,81,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M03,2015M03,97,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M04,2015M04,94,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M05,2015M05,104,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M06,2015M06,112,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M07,2015M07,113,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M08,2015M08,116,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M09,2015M09,98,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M10,2015M10,99,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M11,2015M11,88,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2015M12,2015M12,89,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M01,2016M01,86,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M02,2016M02,86,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M03,2016M03,91,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M04,2016M04,89,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M05,2016M05,105,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M06,2016M06,110,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M07,2016M07,115,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M08,2016M08,110,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M09,2016M09,96,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M10,2016M10,97,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M11,2016M11,83,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2016M12,2016M12,85,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2017M01,2017M01,84,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2017M02,2017M02,78,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2017M03,2017M03,86,
