Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2007,2007,38751.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2008,2008,38753.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2009,2009,38299.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2010,2010,39428.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2011,2011,39117.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2012,2012,39386.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2013,2013,39504.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2014,2014,40300.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2015,2015,40745.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2016,2016,41892.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2017,2017,41008.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2018,2018,40570.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2019,2019,39603.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2020,2020,37540.0,
