TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M02,2014M02,1383,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M03,2014M03,2813,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M04,2014M04,1261,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M05,2014M05,1346,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M06,2014M06,1446,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M07,2014M07,1365,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M08,2014M08,1735,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M09,2014M09,1299,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M10,2014M10,1397,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M11,2014M11,1418,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M12,2014M12,1527,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M01,2015M01,1895,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M02,2015M02,1919,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M03,2015M03,3391,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M04,2015M04,1974,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M05,2015M05,1868,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M06,2015M06,2616,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M07,2015M07,1764,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M08,2015M08,2165,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M09,2015M09,2130,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M10,2015M10,2044,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M11,2015M11,2039,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2015M12,2015M12,1978,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2016M01,2016M01,1906,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2016M02,2016M02,1926,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2016M03,2016M03,2594,
