PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M05,2008M05,12.99,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M06,2008M06,13.04,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M07,2008M07,13.8,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M08,2008M08,13.19,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M09,2008M09,13.14,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M10,2008M10,12.59,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M11,2008M11,11.34,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M12,2008M12,10.34,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M01,2009M01,10.75,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M02,2009M02,10.94,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M03,2009M03,10.84,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M04,2009M04,11.33,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M05,2009M05,11.7,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M06,2009M06,12.43,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M07,2009M07,12.13,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M08,2009M08,12.39,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M09,2009M09,12.27,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M10,2009M10,11.84,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M11,2009M11,12.13,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2009M12,2009M12,12.11,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2010M01,2010M01,12.38,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2010M02,2010M02,12.03,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2010M03,2010M03,12.74,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2010M04,2010M04,12.96,
